alt_text,brand,image_path,image_url,is_base64,link,price,title
Tênis Masculino Olympikus Challenger 5 Caminhada Treino,OLYMPIKUS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,R$260,Tênis Masculino Olympikus Challenger 5 Caminhada Treino
Tênis Masculino New Speed R Sport Academia Crossfit,NEW SPEED,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$175,76",Tênis Masculino New Speed R Sport Academia Crossfit
Tenis Masculino Olympikus Cyber 4 Lançamento,OLYMPIKUS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$259,90",Tenis Masculino Olympikus Cyber 4 Lançamento
Tenis Fila Efecto Masculino Caminhada Corrida Mesh Original,FILA,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$215,84",Tenis Fila Efecto Masculino Caminhada Corrida Mesh Original
Tênis Puma 33 A 43 Academia Corrida Treino Envio Rápido Nov,PUMA,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$99,99",Tênis Puma 33 A 43 Academia Corrida Treino Envio Rápido Nov
Tênis Puma 33 A 43 Academia Corrida Treino Macio Promoção,PUMA,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$99,99",Tênis Puma 33 A 43 Academia Corrida Treino Macio Promoção
Kit Tenis Esportivo Academia Corrida Infily + Relogio Meia,,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$65,29",Kit Tenis Esportivo Academia Corrida Infily + Relogio Meia
Tenis Olympikus Dynamic Masculino Esportivo Original,OLYMPIKUS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$295,80",Tenis Olympikus Dynamic Masculino Esportivo Original
Tênis Masculino Caminhada Academia Esportivo Origina Fxb 515,FXB,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,R$65,Tênis Masculino Caminhada Academia Esportivo Origina Fxb 515
Tênis Masculino Academia Rixxon Leve Promoção Barato ,,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$57,40",Tênis Masculino Academia Rixxon Leve Promoção Barato 
Tênis Masculino Olympikus Proof 3 Tamanho Grande Dia A Dia,OLYMPIKUS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$218,49",Tênis Masculino Olympikus Proof 3 Tamanho Grande Dia A Dia
Olympikus CORRIDA Neblina Masculino Adultos 43779235_1-004,OLYMPIKUS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$209,99",Olympikus CORRIDA Neblina Masculino Adultos 43779235_1-004
Tenis Masculino Academia Corrida Casual Uso Diario Laranja,REIG,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$59,25",Tenis Masculino Academia Corrida Casual Uso Diario Laranja
Tênis Charged Slight 3 Under Armour Unissex Original,UNDER ARMOUR,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$293,29",Tênis Charged Slight 3 Under Armour Unissex Original
Kit 2 Pares Tênis Masculino Para Academia Esportivo +relógio,,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$133,91",Kit 2 Pares Tênis Masculino Para Academia Esportivo +relógio
Tênis Masculino Recovery Fila ,FILA,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$317,99",Tênis Masculino Recovery Fila 
Tênis Masculino Tamanhos Especiais Esporte Caminhada Box 200,BOX200,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$78,16",Tênis Masculino Tamanhos Especiais Esporte Caminhada Box 200
Tênis Olympikus Conex Leve Caminhada Treino Corrida Academia,OLYMPIKUS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$197,79",Tênis Olympikus Conex Leve Caminhada Treino Corrida Academia
